"","country","v1","v2","v3","v4","v5","v6","v8","v9","v10"
"259",40,1,1,1,3,2,1,2,3,1
"260",40,1,1,2,3,3,1,4,3,2
"261",40,1,1,1,1,2,2,2,4,2
"262",40,1,1,2,2,1,1,4,4,2
"263",40,2,1,2,2,2,2,3,4,1
"264",40,1,1,2,3,3,3,4,4,1
"265",40,2,1,2,2,1,NA,NA,NA,4
"266",40,2,1,1,2,4,2,2,2,2
"267",40,1,1,1,1,1,1,NA,NA,NA
"268",40,2,2,2,1,3,2,2,2,1
"269",40,1,1,1,3,3,2,3,2,2
"270",40,2,3,1,1,3,3,2,3,3
"271",40,2,1,2,1,4,4,4,4,2
"272",40,1,1,2,1,2,3,3,3,NA
"273",40,1,1,1,2,2,3,2,2,3
"274",40,3,1,2,2,2,2,2,2,3
"275",40,1,1,2,2,3,1,2,2,4
"276",40,1,1,1,1,2,3,2,2,3
"277",40,1,1,2,2,4,1,NA,4,2
"278",40,1,1,1,2,2,2,2,2,3
"279",40,1,1,2,2,2,4,4,4,3
"280",40,2,1,2,2,3,3,2,2,3
"281",40,1,1,1,1,2,4,4,4,2
"282",40,1,1,3,2,2,4,2,2,3
"283",40,1,1,2,2,3,3,3,3,1
"284",40,4,1,1,1,3,3,2,2,1
"285",40,2,1,2,2,2,2,1,2,4
"286",40,1,1,1,1,3,2,3,4,1
"287",40,1,1,1,2,4,1,4,4,1
"288",40,4,1,2,1,2,3,2,4,2
"289",40,1,1,2,2,4,3,1,NA,NA
"290",40,2,1,1,1,3,2,4,4,4
"291",40,2,1,1,1,3,3,4,2,1
"292",40,1,1,1,2,2,1,2,2,3
"293",40,2,1,1,1,4,2,2,2,3
"294",40,2,1,1,1,3,2,2,3,1
"295",40,NA,1,2,1,2,3,4,4,1
"296",40,2,1,1,1,2,2,2,4,1
"297",40,2,1,2,2,2,3,3,2,1
"298",40,2,1,3,2,2,4,2,2,3
"299",40,1,1,1,3,1,3,4,3,4
"300",40,1,1,1,1,2,2,2,2,3
"301",40,1,1,3,3,3,2,4,4,2
"302",40,2,1,1,2,3,2,1,2,2
"303",40,2,1,2,2,3,2,3,3,2
"304",40,1,1,1,1,2,1,2,3,4
"305",40,2,1,1,1,1,1,3,3,2
"306",40,1,1,1,1,3,3,1,NA,NA
"307",40,2,1,2,2,3,4,NA,4,NA
"308",40,1,1,2,1,2,2,2,3,2
"309",40,1,1,2,2,3,3,2,2,3
"310",40,1,1,1,2,2,2,4,3,2
"311",40,1,2,2,3,4,2,3,3,2
"312",40,1,1,2,2,3,3,2,2,3
"313",40,2,1,2,2,2,2,2,3,2
"314",40,2,1,3,2,2,4,4,2,3
"315",40,2,1,1,1,3,3,3,3,2
"316",40,1,1,3,1,2,3,2,2,3
"317",40,1,1,2,1,1,3,3,4,2
"318",40,1,1,2,2,4,4,3,2,3
"319",40,1,1,1,2,3,3,4,4,2
"320",40,1,2,1,2,4,3,4,4,2
"321",40,2,1,3,3,2,2,2,2,3
"322",40,1,2,3,2,3,1,3,3,2
"323",40,2,1,2,1,4,1,4,4,1
"324",40,1,1,2,3,2,4,4,4,1
"325",40,1,1,1,1,3,2,2,2,4
"326",40,3,1,2,1,2,1,2,3,2
"327",40,1,1,2,2,3,1,3,4,4
"328",40,1,1,2,1,2,1,3,3,1
"329",40,1,1,1,1,4,4,2,4,2
"330",40,2,2,2,2,3,3,2,3,1
"331",40,2,1,1,2,4,3,3,3,2
"332",40,1,1,2,2,3,3,3,3,2
"333",40,1,1,2,2,3,2,2,2,3
"334",40,1,1,2,1,1,1,3,3,1
"335",40,1,1,1,2,3,1,4,4,1
"336",40,2,1,2,2,4,1,4,4,1
"337",40,2,1,1,2,2,3,3,3,2
"338",40,2,1,1,1,3,2,4,4,1
"339",40,1,1,2,2,2,3,2,2,3
"340",40,1,1,1,2,3,2,2,2,NA
"341",40,2,1,1,2,2,3,2,2,3
"342",40,1,1,2,2,4,2,2,2,1
"343",40,2,1,2,2,3,1,3,3,2
"344",40,1,1,1,1,1,3,4,4,1
"345",40,1,1,2,2,3,3,3,3,1
"346",40,1,1,1,1,2,1,1,1,3
"347",40,1,1,2,1,4,3,NA,3,1
"348",40,2,1,2,2,3,3,3,2,1
"349",40,2,2,2,2,2,3,3,3,2
"350",40,1,1,2,1,1,2,4,4,1
"351",40,1,1,2,2,3,2,4,4,3
"352",40,1,1,1,4,4,4,1,4,2
"353",40,1,1,1,2,3,3,3,3,3
"354",40,1,1,2,2,2,2,2,3,3
"355",40,2,2,1,2,3,2,4,4,2
"356",40,1,1,1,2,2,3,3,3,2
"357",40,1,1,1,1,2,4,4,4,1
"358",40,1,2,1,1,3,2,2,2,3
"359",40,1,1,2,2,2,1,2,3,4
"360",40,1,1,2,1,3,1,1,1,3
"361",40,2,1,1,1,3,2,3,2,1
"362",40,1,1,1,1,2,2,1,2,2
"363",40,2,1,3,1,3,2,NA,3,3
"364",40,1,1,3,1,4,3,2,3,2
"365",40,3,1,2,2,4,1,4,4,1
"366",40,1,1,2,3,3,2,2,4,2
"367",40,1,1,1,3,3,2,2,3,2
"368",40,2,1,1,2,3,2,1,2,3
"369",40,1,1,1,2,1,2,2,2,3
"370",40,1,1,2,3,2,1,2,2,3
"371",40,2,1,2,2,3,4,3,4,2
"372",40,1,1,1,1,3,2,3,2,1
"373",40,1,1,2,2,3,2,2,3,1
"374",40,1,1,2,1,4,2,2,4,2
"375",40,4,1,2,2,3,3,3,3,1
"376",40,1,1,1,2,3,2,2,3,3
"377",40,1,1,1,1,3,3,2,2,2
"378",40,1,1,2,2,2,1,2,2,3
"379",40,1,1,1,2,2,2,2,2,3
"380",40,1,1,1,1,2,3,2,3,3
"381",40,1,1,2,2,3,2,2,2,3
"382",40,1,1,2,2,2,2,2,2,4
"383",40,2,1,2,1,2,2,1,NA,4
"384",40,1,1,2,2,2,2,1,2,3
"385",40,2,2,2,3,4,4,2,3,1
"386",40,1,2,1,1,4,4,2,2,2
"387",40,2,2,1,3,3,3,2,3,3
"388",40,2,2,2,3,3,3,2,2,2
"389",40,1,2,1,2,2,3,3,2,2
"390",40,1,1,1,2,3,3,3,2,4
"391",40,1,1,3,2,4,4,2,2,3
"392",40,1,1,4,2,2,1,2,2,NA
"393",40,1,1,2,2,3,1,2,2,3
"394",40,1,1,2,1,3,2,1,2,4
"395",40,1,1,1,3,4,1,3,4,2
"396",40,1,1,2,1,1,3,2,2,2
"397",40,2,1,1,2,3,3,3,3,2
"398",40,1,1,1,2,3,3,3,3,2
"399",40,1,1,2,2,3,3,2,3,2
"400",40,2,1,2,3,4,2,3,4,4
"401",40,2,1,2,1,4,4,1,1,3
"402",40,1,1,4,4,1,4,4,4,1
"403",40,2,1,2,2,4,2,3,3,4
"404",40,1,1,2,2,1,1,2,3,1
"405",40,1,1,1,1,3,1,2,3,2
"406",40,1,1,2,3,1,2,2,2,3
"407",40,1,1,2,2,1,3,2,2,2
"408",40,1,2,3,2,4,3,1,2,1
"409",40,3,1,1,1,3,3,4,4,1
"410",40,1,1,2,3,2,1,NA,NA,NA
"411",40,2,2,2,2,3,4,3,4,4
"412",40,2,1,1,2,3,1,1,3,3
"413",40,1,1,1,2,2,1,2,4,3
"414",40,1,1,1,2,2,1,1,2,2
"415",40,1,4,2,1,4,4,2,3,1
"416",40,1,1,3,2,4,3,NA,4,NA
"417",40,2,1,1,1,1,1,4,4,2
"418",40,1,1,1,1,3,2,NA,NA,NA
"419",40,2,1,1,1,3,3,2,1,3
"420",40,1,1,2,2,2,3,4,4,2
"421",40,1,1,1,1,4,1,4,4,2
"422",40,1,1,1,2,2,2,1,2,2
"423",40,2,1,2,2,3,1,2,1,4
"424",40,1,1,1,1,2,4,2,2,4
"425",40,2,2,3,2,4,1,3,2,2
"426",40,2,1,2,2,4,2,2,3,3
"427",40,1,1,2,3,3,2,2,2,4
"428",40,2,1,2,2,4,1,NA,3,2
"429",40,1,1,1,1,2,2,NA,4,NA
"430",40,2,1,2,2,2,1,4,4,1
"431",40,1,2,2,2,3,1,4,NA,2
"432",40,1,1,3,2,1,2,3,3,3
"433",40,1,2,2,2,3,4,2,3,2
"434",40,2,1,2,2,3,4,2,NA,2
"435",40,2,1,2,3,2,1,2,2,3
"436",40,2,1,1,2,3,1,3,3,2
"437",40,2,1,1,2,3,4,3,3,4
"438",40,2,2,1,1,3,2,3,2,3
"439",40,2,1,2,2,4,1,1,3,3
"440",40,1,1,2,2,2,3,2,2,3
"441",40,1,1,1,1,3,3,2,2,2
"442",40,NA,2,1,1,3,2,4,4,1
"443",40,1,1,1,1,3,3,3,3,NA
"444",40,1,1,3,3,4,4,3,3,3
"445",40,1,1,1,1,3,1,NA,NA,NA
"446",40,1,1,1,2,2,2,NA,NA,2
"447",40,2,1,1,1,4,3,4,4,2
"448",40,4,1,1,1,3,1,4,4,3
"449",40,1,1,1,1,3,2,3,3,3
"450",40,3,1,1,3,4,2,4,4,3
"451",40,NA,1,1,1,2,2,4,4,3
"452",40,1,1,3,3,3,1,4,4,1
"453",40,1,1,2,2,2,4,2,3,3
"454",40,1,1,1,1,2,4,2,3,2
"455",40,1,1,1,1,2,2,2,4,1
"456",40,1,2,2,3,1,3,3,3,1
"457",40,1,1,1,2,3,3,2,2,2
"458",40,2,1,2,2,3,3,4,4,1
"459",40,1,1,2,1,2,2,2,2,3
"460",40,1,1,1,1,1,1,2,4,3
"461",40,1,1,3,2,3,3,1,2,3
"462",40,1,1,1,2,1,2,2,2,3
"463",40,1,1,3,2,1,4,4,4,1
"464",40,1,1,2,2,3,3,3,3,2
"465",40,1,1,2,3,4,1,3,4,2
"466",40,1,1,2,3,2,3,1,4,2
"467",40,1,1,2,3,4,3,3,4,1
"468",40,1,1,1,1,3,3,4,4,1
"469",40,1,1,2,3,3,2,4,NA,1
"470",40,1,1,2,2,2,2,2,3,2
"471",40,1,1,2,1,3,1,2,4,1
"472",40,2,1,1,2,4,2,3,3,3
"473",40,1,1,1,1,2,1,4,4,1
"474",40,1,1,2,2,2,2,NA,4,4
"475",40,1,1,1,1,2,3,NA,3,2
"476",40,2,1,2,1,3,3,3,3,2
"477",40,1,1,1,1,3,2,3,3,2
"478",40,1,1,2,NA,4,3,4,4,1
"479",40,2,2,3,3,1,4,4,4,3
"480",40,1,1,1,1,2,3,3,3,1
"481",40,1,1,2,2,4,4,4,4,4
"482",40,1,1,1,2,4,1,3,3,2
"483",40,1,1,3,3,4,3,4,4,1
"484",40,1,1,2,2,3,3,4,4,2
"485",40,1,1,2,1,4,2,4,NA,NA
"486",40,2,1,1,3,4,3,4,4,2
"487",40,1,2,3,2,2,2,1,1,3
"488",40,2,2,2,1,2,2,2,2,2
"489",40,1,1,1,2,3,3,4,4,2
"490",40,1,1,2,1,2,4,2,1,3
"491",40,1,1,2,2,3,3,2,2,3
"492",40,1,1,1,2,2,3,2,2,2
"493",40,1,1,1,2,2,2,4,4,2
